id	jobPlace	name	company	salary	education	jobRequirement	jobExperience
18	北京	数据统计分析师	北京世纪互联软件开发有限公司	8千-1万	大专	数据分析 数据采集 SPSS 数据库 	1-3年
19	北京	数据分析师/研究员	北京融海新程科技有限公司	8千-1.6万	大专	数据分析 	1-3年
20	北京-朝阳区	数据分析师（车企戴姆勒）	中智商务咨询有限公司	1万-1.5万	本科	数据分析 Python SPSS VBA 	1-3年
21	北京	数据分析师	工信通(北京)信息技术有限公司	7千-1万	本科	数据分析 数据挖掘 数据清洗 	不限
22	北京	数据分析师	麦克利兰(北京)信息技术有限公司	6千-1万	本科	SPSS SQL 	不限
23	北京-海淀区	数据分析师2021SSJ01	中国信息通信研究院	1万-1.5万	硕士	数据挖掘 需求分析 舆情分析 行业分析 商业分析 数据采集 	1年以下
24	北京	数据分析师	邦邦汽服	1.5万-2万	本科	Python SQL 数据采集 SPS R语言 	3-5年
25	北京-顺义区	汽车数据分析师	北京创先策略信息咨询有限公司	8千-1万	本科	数据分析 	1-3年
26	北京	数据分析师	海关信息中心下属北京中海通科技有限公司	1.2万-1.6万	本科	数据挖掘 数据采集 需求分析 	不限
27	北京-朝阳区	资深数据分析师	邦邦汽服	2万-4万	本科	数据分析 数据挖掘 数据清洗 	3-5年
28	北京-西城区	数据分析师	邮乐中国	1万-1.5万	本科	数据分析 	1-3年
29	北京-大兴区	数据分析师	京东商城总部	1.8万-3.5万	本科	SQL 	5-10年
30	北京	数据分析师	东华软件	面议	本科	工业领域 数据分析 数据挖掘 	3-5年
31	北京	数据分析师	北京嘀嘀无限科技发展有限公司	1.5万-2万	本科	数据分析 数据建模 	不限
32	北京-大兴区	数据分析师	京东商城总部	1.5万-3万	大专	数据分析 数据挖掘 商业数据分析 需求分析 	5-10年
33	北京-海淀区	数据分析师	东华软件	面议	本科	数据挖掘 数据建模 R语言 商业分析 数据分析 	3-5年
34	北京	资深数据分析师(J210322056)	北京嘀嘀无限科技发展有限公司	2万-3万	本科		3-5年
35	北京	采销数据分析师	京东商城总部	1万-1.5万	大专	商业分析 	1-3年
36	北京-丰台区	数据分析师	建囤财富金融信息服务有限公司e	1万-1.5万	本科	数据分析 数据清洗 数据仓库 大数据分析 数据治理 商业分析 	1-3年
37	北京	数据分析师	北京壹壹壹商业连锁有限公司	1万-1.5万	本科	数据分析 数据挖掘 SQL 大数据分析 商业数据分析 需求分析 	1-3年
38	北京-大兴区	数据分析师-房地产业务部-京东集团	京东商城总部	2万-4万	本科	SQL 	3-5年
39	北京-朝阳区	数据分析师	华胜天成	6千-1.2万	本科	数据分析 大数据分析 商业分析 行业分析 	1-3年
40	北京-海淀区	北京东华博泰-数据分析师	东华软件	面议	本科	数据分析 Python BI R ERP 	3-5年
41	北京-大兴区	数据分析师-文旅业务部-京东集团	京东商城总部	2万-4万	本科	SQL 	5-10年
42	北京-西城区	数据分析师	塔读文学	2万-2.5万	本科	数据分析 数据建模 大数据分析 模型设计 数据挖掘 数据清洗 	1-3年
43	北京-丰台区	数据分析师助理	神州方德科技有限公司c	1万-1.5万	大专	数据分析 大数据分析 行业分析 	不限
44	北京-大兴区	业务分析岗（数据分析师）	京东物流	1.5万-2万	本科	数据分析 Tableau 数据挖掘 SQL 	3-5年
45	北京	数据分析师（东华博泰）	东华软件	面议	本科	Python R 	3-5年
46	北京	数据分析师	北京阳光第一车网科技有限公司	1万-1.5万	本科	数据分析 	3-5年
47	北京-大兴区	终端数据分析师	京东集团	1.2万-2.4万	本科	数据分析 数据处理 快递业务 经营赋能 终端业务 	1-3年
48	北京	数据分析师	中关村科技软件股份有限公司	1万-2万	本科	数据分析 数据清洗 Python 数据建模 数据治理 数据采集 	不限
49	北京-东城区	数据分析师	北京均安科讯技术有限公司	6千-8千	大专	office powerpoint/ppt 标书制作 数据统计分析 商务知识 	不限
50	北京	数据分析师	信元公众信息发展有限责任公司	面议	本科	Python SQL 行业分析 需求分析 商业分析 数据挖掘 	1-3年
51	北京-海淀区	数据分析师	佰诺全景生物技术(北京)有限公司	8千-1万	本科	数据采集 需求分析 	1-3年
52	北京	数据分析师	北京华通人商用信息有限公司	1.5万-2万	本科	数据分析 Python 数据挖掘 数据建模 大数据平台 数据治理 	不限
53	北京-朝阳区	数据分析师	百川能源股份有限公司	7千-8千	本科	数据分析 SPSS 需求分析 数据采集 	1-3年
54	北京-朝阳区	数据分析师-0002	上海中智人才顾问咨询有限公司	1万-1.5万	本科	行业经验 	3-5年
55	北京-朝阳区	数据分析师	北京盛业艾特科技有限公司	8千-1.6万	大专	数据分析 	1年以下
56	北京	商业数据分析师	京东商城总部	2万-3万	本科	数据统计 	5-10年
57	北京-朝阳区	医学数据分析师-0001	上海中智人才顾问咨询有限公司	1万-1.5万	本科	行业经验 	1-3年
58	北京-昌平区	人力数据分析师（校招）	泰康在线	8千-1.5万	本科	Tableau SQL 	无经验
59	北京	数据分析师（业务方向）	中建政研集团有限公司	1.5万-2.5万	本科	数据采集 数据建模 数据挖掘 需求分析 	3-5年
60	北京-海淀区	（校招）数据分析师	东信北邮信息技术有限公司	7千-1万	本科	数据分析 数据挖掘 Python 大数据分析 	不限
61	北京	数据分析师	颐圣智能	1万-1.5万	本科	数据分析 模型设计 SPSS MATLAB 	1-3年
62	北京	数据分析师	太原华汉兴业科技发展有限公司	1万-2万	本科	数据分析 	不限
63	北京	数据分析师	北京数慧时空信息技术有限公司	1.5万-2万	学历不限	数据分析 ETL 数据治理 	1-3年
64	北京	数据分析师	百川能源股份有限公司	7千-8千	本科	数据分析 SPSS 商业数据分析 数据采集 	1-3年
65	北京	数据分析师 五险一金	经国资本管理集团有限公司	1万-1.5万	学历不限	数据分析 	不限
66	北京	数据分析师（高级）	中关村科技软件股份有限公司	1.5万-2.5万	本科	数据分析 Python R语言 	3-5年
67	北京-昌平区	高级数据分析师	北京国电通网络技术有限公司	1.5万-2.5万	本科	大数据平台 大数据分析 数据架构 	5-10年
68	北京-朝阳区	数据分析师	北京盛业艾特科技有限公司	8千-1万	学历不限	数据分析 数据挖掘 数据清洗 大数据分析 	不限
69	北京-朝阳区	数据分析师	分子互动	1万-1.5万	本科	数据分析 数据挖掘 数据建模 大数据分析 	3-5年
70	北京-朝阳区	数据分析师-RMS	美团（中国大陆地区）	面议	本科		3-5年
71	北京-东城区	数据分析师	建囤财富金融信息服务有限公司g	1万-1.5万	大专	数据分析 行业分析 舆情分析 数据架构 深度学习 商业分析 	不限
72	北京-朝阳区	数据分析师	经国资本管理集团有限公司	1万-1.5万	大专	数据分析 	1-3年
73	北京	数据分析师	望海康信(北京)科技股份公司	1.5万-2.5万	本科	数据分析 Python 数据仓库 	5-10年
74	北京	数据分析师	上海凡思信息科技有限公司	8千-1万	大专	数据分析 数据建模 数据仓库 	不限
75	北京	数据分析师	零犀(北京)科技有限公司	3千-6千	本科	SQL 数据分析 数据建模 	不限
76	北京	数据分析师（不加班+双休）	微猎(上海)劳务派遣有限公司北京分公司	8千-1.6万	学历不限	数据分析 数据挖掘 大数据分析 数据仓库 	不限
77	北京	数据分析师	经国资本管理集团有限公司	1万-1.5万	学历不限	数据分析 	不限
78	北京-朝阳区	数据分析师	北京韦尔智汇科技有限公司	1万-1.5万	大专	数据分析 数据挖掘 数据建模 数据采集 数据仓库 大数据分析 	3-5年
79	北京	数据分析师	易才集团	1.2万-1.5万	本科	SQL Python 数据分析 业务运营 	1-3年
80	北京	数据分析师	北京盛业艾特科技有限公司	8千-1.3万	大专	需求分析 行业分析 	1年以下
81	北京	数据分析师	智联招聘(靠谱工作视频见)	2万-4万	本科	Tableau 数据分析 数据挖掘 Python SQL 商业数据分析 	3-5年
82	北京-朝阳区	数据分析师	经国资本管理集团有限公司	8千-1万	大专	数据分析 深度学习 商业分析 商业数据分析 	1-3年
83	北京	数据分析师	曼迪匹艾(北京)科技服务有限公司	1.5万-3万	本科	数据分析 数据挖掘 Python 需求分析 	不限
84	北京	数据分析师	北京云鹏广控信息技术有限公司	6千-8千	大专	数据分析 	1-3年
85	北京	数据分析师	上海赛灏互联网科技有限公司	1万-1.5万	大专	数据分析 	1-3年
86	北京-朝阳区	数据分析师	天狮集团	面议	本科	SQL Python 数据分析 数据建模 数据挖掘 商业数据分析 R语言 SPSS 	3-5年
87	北京	数据分析师 高薪聘	经国资本管理集团有限公司	1万-1.5万	大专	数据分析 	1-3年
88	北京	数据分析师	上海佩凌信息科技有限公司	6千-8千	大专	数据分析 数据仓库 数据治理 	不限
89	北京	数据分析师（J10718）	北京高因科技有限公司	2.5万-4万	本科	Python SQL 商业分析 数据采集 数据建模 数据挖掘 	5-10年
90	北京-朝阳区	高级数据分析师	太原华汉兴业科技发展有限公司	1.5万-3万	本科	数据建模 	1-3年
91	北京-朝阳区	运营数据分析师	三河市亿盛纸制品有限公司	1万-1.5万	本科	商业数据分析 行业分析 	1-3年
92	北京-朝阳区	数据分析师	经国资本管理集团有限公司	1万-1.5万	本科	风险控制 数据分析 金融 风险审核 金融实习生 	1-3年
93	北京-朝阳区	数据分析师（系统运营部）	中国交通通信信息中心	1万-1.5万	本科	数据分析 	不限
94	北京	数据分析师	北京市西城区卫生健康委员会信息中心	1.5万-3万	本科	数据分析 Hadoop 	1-3年
95	北京-朝阳区	数据分析师	和讯网	3万-5万	本科	数据分析 数据挖掘 SQL Python Tableau 	3-5年
96	北京	数据分析师	中视前卫	1.5万-2.5万	本科	Python Tableau SQL 	3-5年
97	北京	金融数据分析师	经国资本管理集团有限公司	1万-1.5万	本科	数据分析 风险控制 金融 风险审核 	1-3年
98	北京-东城区	数据分析师	鲸鹳科技	2万-3.5万	本科	数据分析 	1-3年
99	北京-朝阳区	数据分析师	完美家族(北京)文化传媒有限责任公司	1万-1.5万	本科	数据分析 数据建模 模型设计 直播数据 粉丝画像 	1-3年
100	北京-丰台区	数据分析师	圆心科技	1.5万-2.5万	大专	Tableau 数据分析 数据挖掘 Python 数据清洗 数据仓库 数据治理 大数据平台 	3-5年
101	北京-海淀区	数据分析师	软通动力信息技术(集团)股份有限公司	1.5万-2万	硕士	数据分析 MySQL 	3-5年
102	北京-海淀区	数据分析师	人民政协报网络有限公司	8千-1万	本科	SQL Python 	1-3年
103	北京	数据分析师	亚信科技(中国)有限公司	1万-1.5万	本科	数据采集 商业分析 行业分析 	1-3年
104	北京-海淀区	数据分析师	中科软科技股份有限公司	6千-8千	本科	数据分析 	1年以下
105	北京-朝阳区	投资数据分析师	经国资本管理集团有限公司	1万-1.5万	大专	数据分析 	1-3年
106	北京-海淀区	数据分析师	博彦科技	1万-1.5万	本科	数据分析 	1-3年
107	北京	高级数据分析师	北京字节跳动科技有限公司	2万-4万	本科	数据分析 	3-5年
108	北京	BI数据分析师	北京博乐科技有限公司	1.5万-2万	本科	SQL 数据建模 数据处理 数据挖掘 Python 	不限
109	北京	数据分析师	北京美立刻医疗器械有限公司	1.5万-2.5万	本科	数据分析 销售业务数据 	3-5年
110	北京-朝阳区	数据分析师	深圳索信达数据技术有限公司	1.3万-2.5万	本科	数据分析 SQL 数据运营 银行业务 	3-5年
111	北京	数据分析师	北京鹏泰互动广告有限公司	1万-1.5万	本科	数据分析 数据挖掘 大数据分析 	1-3年
112	北京	数据分析师	北京圣承方略咨询有限公司	1万-1.5万	本科	数据分析 	5-10年
113	北京-朝阳区	数据分析师	普信恒业科技发展(北京)有限公司	1.8万-2.7万	本科	数据分析 Python SQL 数据仓库 R语言 	1-3年
114	北京	数据分析师	融易推	1.2万-1.8万	本科	数据分析 	3-5年
115	北京-西城区	数据分析师	数智工场科技产业有限公司	1万-1.5万	本科	数据分析 Python 	3-5年
116	北京	数据分析师	东易日盛家居装饰集团	2万-3万	本科	数据分析 数据仓库 大数据分析 	3-5年
117	北京-朝阳区	电商数据分析师	北京奇立软件技术有限公司	9千-1.4万	本科	统计学 数据分析 销售业务数据 	1-3年
118	北京	数据分析师	北京美立刻医疗器械有限公司	1.5万-2.5万	本科	数据分析 销售业务数据 	3-5年
119	北京	数据分析师（2021届应届毕业生）	纳恩博(北京)科技有限公司	1万-1.5万	本科	数据分析 	无经验
120	北京-朝阳区	投资数据分析师	经国资本管理集团有限公司	1万-2万	大专	数据分析 	1-3年
121	北京-海淀区	数据分析师	北京京鼎盛达信息科技有限公司	2万-3万	本科	数据分析 SQL Python SPSS 数据清洗 商业分析 大数据平台 大数据分析 	3-5年
122	北京	数据分析师（2021校招北京）	北京当当科文	1万-1.5万	本科	数据分析 	无经验
123	北京-朝阳区	数据分析师	北京乐卡车联科技有限公司	2万-2.5万	本科	数据分析 Python 数据建模 	1-3年
124	北京	数据分析师(J10470)	随行付	1.5万-2.5万	本科	数据分析 数据建模 机器学习 大数据分析 	3-5年
125	北京	高级数据分析师	智联招聘	1.5万-3万	本科	数据分析 BI Tableau SPSS 	3-5年
126	北京	数据分析师	我爱我家	1.5万-2万	硕士	BI 	不限
127	北京	本地生活-数据分析师-BI	阿里巴巴集团	面议	本科		无经验
128	北京	数据分析师	点米(北京)科技有限公司	2万-4万	本科	Python Sklearn TensorFlow pytorch SQL 	1-3年
129	北京	数据分析师	中科天玑数据科技股份有限公司	1万-2万	大专	Python Hive Spark Hadoop Kettle 数据建模 	1-3年
130	北京-朝阳区	数据分析师	智联招聘	8千-1万	本科	SQL 数据建模 数据挖掘 行业分析 需求分析 	3-5年
131	北京	投资数据分析师	经国资本管理集团有限公司	2万-3万	本科	风险控制 数据分析 	1-3年
132	北京	数据分析师	北京泛华国金工程咨询有限公司	1万-1.5万	本科	数据分析 	3-5年
133	北京	数据分析师	软通动力信息技术(集团)股份有限公司	2万-3万	本科	数据分析 需求分析 ETL Teradata Oracle 	5-10年
134	北京	数据分析师（底薪+绩效）	宁波魔小方人力资源服务有限公司北京分公司	8千-1.5万	本科	数据分析 数据挖掘 	1-3年
135	北京-朝阳区	数据分析师	智联招聘	1.5万-3万	本科	数据分析 Python SPSS SQL 	3-5年
136	北京-朝阳区	数据分析师（中级）	深圳市优阅达数据科技有限公司北京分公司	1万-1.5万	本科	SQL Tableau BI 	3-5年
137	北京-朝阳区	风控数据分析师	经国资本管理集团有限公司	1万-2万	大专	数据分析 	1-3年
138	北京-朝阳区	数据分析师	深圳市德科信息技术有限公司	1.5万-1.8万	本科	数据分析 Python BI Hive 	3-5年
139	北京-朝阳区	数据分析师	呱呱网络科技(大连)有限公司	1.2万-1.7万	本科	数据分析 SQL BI 数据采集 数据清洗 数据建模 	3-5年
140	北京	数据分析师	智联招聘	1.8万-3万	本科	Python SQL 数据分析 R语言 	1-3年
141	北京	数据分析师	金保信社保卡科技有限公司	2万-4万	本科	数据分析 	5-10年
142	北京	数据分析师（数据产品方向）	点米(北京)科技有限公司	1.5万-3万	本科	数据分析 SQL Python 	1-3年
143	北京-东城区	数据分析师(J10069)	联通大数据	面议	本科	Python R语言 	5-10年
144	北京-大兴区	数据分析师（影视行业）	文投在线(北京)金融信息服务有限公司	1.5万-2万	本科	数据分析 大数据分析 商业分析 商业数据分析 	3-5年
145	北京	数据分析师	智联招聘	1.5万-3万	本科	数据分析 SQL 	5-10年
146	北京	数据分析师（sas）	深圳索信达数据技术有限公司	1万-1.5万	本科	SQL 数据分析 SAS 	1-3年
147	北京-昌平区	环保数据分析师	山东中节能天融环保技术有限公司北京分公司	1万-1.5万	本科	数据分析 数据挖掘 数据建模 大数据分析 	1-3年
148	北京	初级数据分析师/实习生JD	北京数信互融科技发展有限公司	1万-1.4万	硕士	Python 数据建模 数据采集 	不限
149	北京	数据分析师	亚宝药业	1.5万-2.5万	大专	Python 数据挖掘 需求分析 数据采集 数据建模 SQL 	5-10年
150	北京	数据分析师	智联招聘	1.5万-2.5万	本科	数据分析 数据挖掘 Hive 	1-3年
151	北京-东城区	数据分析师	望海康信(北京)科技股份公司	1.3万-2.5万	硕士	R语言 SPS 数据采集 数据挖掘 Python 	3-5年
152	北京-大兴区	高级数据分析师/专家	北京赛普力量教育科技有限公司	1.5万-3万	本科	数据建模 	5-10年
153	北京	高级数据分析师 (MJ001806)	北京神州汽车租赁有限公司	2.5万-5万	本科	数据分析 	3-5年
154	北京-朝阳区	BI数据分析师	泰康健投	2万-3万	本科	BI 报表开发 数据仓库 数据清洗 数据分析 SQL 	5-10年
155	北京	高级数据分析师	智联招聘	2.5万-4万	本科	数据分析 Hive SQL Python 	5-10年
156	北京-石景山区	数据银行策略分析师	北京新七天电子商务技术股份有限公司	1.5万-2万	大专	数据分析 	3-5年
157	北京	数据分析师	经国资本管理集团有限公司	1万-1.5万	本科	数据分析 	1-3年
158	北京-朝阳区	数据分析师	恒昌利通	2万-3万	本科	BI Python SQL Hive 数据仓库 	3-5年
159	北京-海淀区	仿真数据分析师	深圳市拓保软件有限公司	8千-1万	本科	Python 	1-3年
160	北京	数据分析师	北京恒田建筑设计有限公司	8千-1万	大专	数据分析 	1-3年
161	北京	数据分析师	经国资本管理集团有限公司	1.5万-2万	学历不限	数据分析 大数据分析 行业分析 	不限
162	北京	数据分析师	北京乐卡车联科技有限公司	1万-1.5万	本科	数据分析 大数据分析 物流 	1-3年
163	北京	数据分析师	北京云歌顺利科技有限公司	2万-3.5万	本科	数据分析 埋点建设 BI系统搭建 报表开发 	3-5年
164	北京	数据分析师	北京锐安科技有限公司	8千-1.2万	本科	SQL Hive Spark 	1-3年
165	北京-朝阳区	数据分析师	智联招聘	8千-1.3万	本科	数据分析 SQL 模型设计 商业数据分析 商业分析 	1-3年
166	北京-朝阳区	数据分析师	Wisers Information Limited	1.5万-2万	本科	数据分析 数据挖掘 数据建模 数据清洗 	1-3年
167	北京-海淀区	数据分析师	彼悦(北京)科技有限公司	8千-1.3万	大专	统计学 数据分析 销售业务数据 用户行为分析 数据统计 商业数据分析 数据挖掘 订单分析 	1-3年
168	北京-海淀区	8—12k大数据分析师	北京华云数通科技有限公司	8千-1万	大专	数据分析 SQL BI 数据建模 大数据分析 	1年以下
169	北京-石景山区	数据分析师	捷安申谋	6千-9千	大专	SPSS 大数据分析 数据采集 商业数据分析 需求分析 舆情分析 	1-3年
170	北京	数据分析师	北京友邦佳通电子科技有限公司	9千-1.5万	本科	数据分析 Python 数据建模 数据采集 大数据分析 SQL 	3-5年
171	北京-朝阳区	游戏数据分析师	完美世界(北京)软件有限公司	1.5万-2万	本科	数据分析 	3-5年
172	北京-海淀区	数据分析师（时空大数据）	银河航天	1.5万-2万	本科	数据分析 数据挖掘 数据建模 	3-5年
173	北京-朝阳区	8—12k大数据分析师	北京华云数通科技有限公司	8千-1万	大专	数据分析 SQL BI 数据建模 大数据分析 	1年以下
174	北京	数据分析师	北京鑫雨银通投资管理有限公司	1万-1.5万	大专	风险控制 金融 数据分析 	1-3年
175	北京-海淀区	数据分析师-北京	神策数据	1.5万-3万	本科	数据分析 数据采集 用户行为 用户画像 埋点 	不限
176	北京-朝阳区	资深数据分析师	车易拍（北京）汽车技术服务有限公司	2万-3万	本科	数据分析 	5-10年
177	北京	数据分析师（人力资源方向）	国美电器	1.5万-2.5万	本科	Python 数据分析 SQL Tableau SPSS 	3-5年
178	北京	贷后数据分析师/高级数据分析师+六险一金	普信恒业科技发展(北京)有限公司	1.5万-2万	大专	Python 数据分析 SQL 数据架构 爬虫 需求分析 数据挖掘 数据建模 	1-3年
179	北京-朝阳区	美团-高级数据分析师	美团（中国大陆地区）	面议	大专	数据分析 SQL 数据仓库 数据挖掘 	3-5年
180	北京	数据分析师/培训招生	51Testing	1万-1.5万	大专	数据分析 数据挖掘 数据清洗 数据建模 数据仓库 大数据分析 	不限
181	北京-朝阳区	数据分析师(J11345)	铁甲网	2万-3万	本科	数据分析 Python 大数据分析 	5-10年
182	北京-海淀区	BI数据分析师	北京中科睿见科技有限公司	8千-1.2万	本科	BI 数据分析 SQL Python 	1-3年
183	北京-石景山区	B级-数据分析师(J10667)	随行付	8千-1万	本科	Hive Python SQL MySQL Oracle 	1-3年
184	北京	数据分析师（省ETC）周末双休 五险一金	北京车易网科技有限公司	1.5万-3万	本科	SPSS Python 数据分析 Tableau 	3-5年
185	北京-东城区	8—12k大数据分析师	北京华云数通科技有限公司	8千-1万	大专	数据分析 SQL BI 数据建模 大数据分析 	1年以下
186	北京-海淀区	数据分析师（地产方向-石家庄） (MJ007295)	搜狐焦点	6千-8千	本科	商业分析 数据挖掘 数据建模 数据采集 行业分析 需求分析 	1-3年
187	北京	大数据分析师 (MJ000250)	北京天马时空网络技术有限公司	3万-4万	学历不限	数据分析 	不限
188	北京	数据分析师	北京光大永邦资产管理有限公司	1万-2万	本科	MySQL BI ETL Oracle SmartBI Kettle 	5-10年
189	北京-海淀区	大数据分析师	新迈尔	1.5万-2万	本科	数据分析 Python Hadoop 大数据分析 数据建模 Scala Hive Spark 	3-5年
190	北京-朝阳区	资深数据产品分析师	嘉驰国际	2万-3.5万	本科	Hive Python SQL 模型设计 	5-10年
191	北京	数据分析师	点米(北京)科技有限公司	1.5万-2.5万	本科	数据分析 	不限
192	北京	数据分析师	51Talk	2万-4万	本科	数据分析 数据架构 大数据分析 大数据平台 数据采集 数据建模 	5-10年
193	北京-海淀区	数据分析师	科锐国际	1万-1.5万	本科	SQL MySQL 行业分析 商业数据分析 	1-3年
194	北京-海淀区	数据分析师	上海志行合力网络技术有限公司广州分公司	6千-8千	大专	数据分析 聚类 大数据分析 数据监控 	1-3年
195	北京-朝阳区	数据分析师	经国资本管理集团有限公司	1.5万-2万	大专	风险控制 数据分析 	1年以下
196	北京-海淀区	数据分析师	拉卡拉	8千-1万	本科	数据分析 	1-3年
197	北京-朝阳区	高级数据分析师	美团（中国大陆地区）	面议	本科		3-5年
198	北京	数据分析师	贝壳找房	1万-1.5万	本科	数据统计分析 	1-3年
199	北京-朝阳区	数据分析师	草根同创资本(北京)有限公司	1万-2万	本科	财务分析 分析报告 财务报表 	3-5年
200	北京	金融数据分析师	经国资本管理集团有限公司	1万-1.5万	本科	金融 数据分析 	1-3年
201	北京	数据分析师	北京乐卡车联科技有限公司	1.2万-2.4万	本科	SQL Python 数据挖掘 数据建模 数据分析 模型设计 	1-3年
202	北京-朝阳区	资深数据分析师（业务运营）	美团（中国大陆地区）	面议	本科		1-3年
203	北京	数据分析师-数据技术-大力教育	北京字节跳动科技有限公司	2万-4万	本科		3-5年
204	北京	运营数据分析师/数据分析师	智点汇融科技发展(北京)有限公司	1.5万-2万	本科	数据挖掘 SQL 需求分析 行业分析 Python 商业分析 	1-3年
205	北京	数据分析师	经国资本管理集团有限公司	1万-1.5万	本科	金融 数据分析 	1-3年
206	北京-朝阳区	数据分析师（项目管理方向）	北京博万数策科技有限公司	6千-1万	本科	数据统计分析 	1-3年
207	北京-朝阳区	数据分析师	云畅游戏	1.5万-2万	本科	数据分析 SQL 大数据分析 数据建模 SQL Server 	无经验
208	北京	数据分析师-质量保障-大力教育	北京字节跳动科技有限公司	2万-4万	本科		3-5年
209	北京	数据分析师	悦优博迈	1万-2万	本科	Python Pandas 数据分析 统计 	不限
210	北京-朝阳区	数据分析师	经国资本管理集团有限公司	1万-2万	大专	数据分析 	1-3年
211	北京	高级数据分析师	智联招聘(靠谱工作视频见)	8千-1.5万	本科	SQL 数据分析 数据建模 大数据分析 Tableau Python 	1-3年
212	北京	数据分析师	元气森林(北京)食品科技集团有限公司	1万-1.5万	本科	销售业务数据 数据分析 	1-3年
213	北京	数据分析师	北京字节跳动科技有限公司	3万-4万	本科		3-5年
214	北京	数据分析师	法本信息	1.3万-1.7万	大专	数据分析 Python SQL Hive 	1-3年
215	北京-朝阳区	数据分析师	经国资本管理集团有限公司	1万-1.5万	本科	金融 数据分析 	1-3年
216	北京-朝阳区	数据分析师	北京盛业艾特科技有限公司	1万-1.5万	学历不限	外汇交易 实盘交易 	不限
217	北京-丰台区	数据分析师	四川长虹佳华信息产品有限责任公司	1万-2万	本科	Tableau 数据分析 MySQL Oracle SQL 	5-10年
218	北京	数据分析师/数据产品经理	北京字节跳动科技有限公司	2万-4万	本科		不限
219	北京	数据分析师（2021校招）	途游游戏	1万-1.5万	本科	行业数据分析 游戏数据运营 	不限
220	北京-朝阳区	数据分析师	经国资本管理集团有限公司	1.5万-2万	本科	投资学 经济分析 	1-3年
221	北京-海淀区	数据分析师	神策数据	1万-2万	本科	商业分析 数据建模 数据采集 行业分析 	3-5年
222	北京	数据分析师	智联招聘(靠谱工作视频见)	1万-2万	本科	数据分析 SQL 数据清洗 大数据分析 	1-3年
223	北京	数据分析师	北京字节跳动科技有限公司	1.5万-2.5万	本科		1-3年
224	北京-海淀区	数据分析师	北京清众教育科技有限公司	1万-1.5万	本科	数据分析 MySQL BI 	1-3年
225	北京	数据分析师	北京乐卡车联科技有限公司	2万-2.5万	本科	SQL Python 数据分析 数据建模 	1-3年
226	北京-房山区	数据分析师	北京细软智谷知识产权代理有限责任公司	8千-1万	本科	数据分析 数据挖掘 数据仓库 数据清洗 决策树 大数据分析 商业分析 商业数据分析 	1-3年
227	北京-丰台区	数据分析师	北京天智恒业科技发展有限公司	7千-9千	本科	数据统计分析 office 	1-3年
228	北京	数据分析师-数据科学-大力教育	北京字节跳动科技有限公司	2万-4万	本科		3-5年
229	北京-丰台区	数据分析师	北京凯帕斯管理顾问有限公司	8千-1万	学历不限		1-3年
230	北京	数据分析师	福建吉诺车辆服务股份有限公司	8千-1万	本科	数据分析 数据挖掘 SQL 商业数据分析 数据中台 数据采集 	3-5年
231	北京	助理数据分析师	北京龙盾数据有限公司	6千-1万	本科	Oracle 数据分析 SPSS 	不限
